GEOID,metro_name,year,n_teams,murder_z,murder_rate,win_amean,win_hmean,win_prev,playoff_share,playoff_share_prev,log_income,unemployment_rate,poverty_rate,log_home_value,log_pop,race_black_nonhispanic_rate,hispanic_or_latino_rate,bachelors_plus_rate,pop_18_to_64_rate
11460,"Ann Arbor, MI Metro Area",2013,1,-1.2493407828678877,1.53,0.538,0.538,0.615,0,0,10.986224492045947,9.108156367578598,15.358705613176916,12.19804047383291,12.761565660791323,11.96465457883865,4.169153086986459,51.25756600426984,68.85500344273584
11460,"Ann Arbor, MI Metro Area",2014,1,-1.146629657221051,1.58,0.417,0.417,0.538,0,0,11.0154273014151,8.402904290429044,15.184217081156351,12.202064624132635,12.769834113959115,11.915357344062096,4.257456167805744,51.75620166601648,68.7264905222305
11460,"Ann Arbor, MI Metro Area",2015,1,-0.5303629033400309,1.88,0.769,0.769,0.417,0,0,11.018678322274004,7.347754896404056,15.4494047972981,12.246254435163005,12.777312045356783,11.944353444867437,4.370050721281475,52.640949284667016,68.57568089649018
11460,"Ann Arbor, MI Metro Area",2016,1,-0.9206651807980104,1.69,0.769,0.769,0.769,0,0,11.0426658029509,6.255133763789679,15.172129214807828,12.29270895218972,12.788517289434157,11.864600845616367,4.442557849877961,53.23583841119386,68.46476505381449
11460,"Ann Arbor, MI Metro Area",2017,1,-0.36602510230509194,1.96,0.615,0.615,0.769,0,0,11.091605327537964,5.387134418745727,14.504314567183558,12.352335152508426,12.79804221653661,11.732764606137051,4.5379229839367765,54.33058913870386,68.26828654335023
11460,"Ann Arbor, MI Metro Area",2018,1,-0.4071095525638267,1.94,0.769,0.769,0.615,0,0,11.148131940071105,4.729716014047054,14.202075576878084,12.4130868149145,12.810282049328814,11.64577646251923,4.645030481390093,55.21107540608355,68.0741936982356
11460,"Ann Arbor, MI Metro Area",2019,1,0.04481940028225541,2.16,0.692,0.692,0.769,0,0,11.192527344751788,4.195790069088118,13.983634822422252,12.48218808161049,12.813117127036707,11.777929155313352,4.721798365122616,55.927124587818625,67.79727520435968
11460,"Ann Arbor, MI Metro Area",2020,1,0.9486773059744187,2.6,0.333,0.333,0.692,0,0,11.234929662107868,4.541018834534192,13.86728109012341,12.537173338349476,12.816883865921968,11.65438332179649,4.860675651831643,56.72206090773963,67.43651343024281
11460,"Ann Arbor, MI Metro Area",2021,1,0.9897617562331534,2.62,0.857,0.857,0.333,1,0,11.279706324958415,4.697554697554698,13.427879489099118,12.590654542721914,12.8277990095285,11.504237060586208,4.988346740846553,57.19525755013185,67.1770113954912
11460,"Ann Arbor, MI Metro Area",2022,1,1.7292818608903777,2.98,0.929,0.929,0.857,1,1,11.341484499272486,4.6820514632041625,13.78694918346866,12.725758897728362,12.821882414135379,11.404771615558936,5.107081794879413,57.41527592914918,66.97386226437008
